id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-675705,2020-01-03,Vente,273080.0,2,,PL DE LA RHODIACETA,6013,69009,Lyon 9e Arrondissement,69,75.31,75.0,Appartement,3,0.0,4.80681,45.77101
2020-675705,2020-01-03,Vente,273080.0,2,,PL DE LA RHODIACETA,6013,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.80681,45.77101
2020-675706,2020-01-24,Vente,18000.0,18,,RUE DE ST CYR,6295,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.80745,45.77916
2020-675707,2020-01-06,Vente,130000.0,14,,RUE IMBERT COLOMES,3600,69001,Lyon 1er Arrondissement,69,28.17,54.0,Appartement,3,0.0,4.83344,45.77125
2020-675709,2020-01-07,Vente,265000.0,56,,RUE AUGUSTE COMTE,0535,69002,Lyon 2e Arrondissement,69,,,Dépendance,0,0.0,4.8297,45.75266
2020-675709,2020-01-07,Vente,265000.0,56,,RUE AUGUSTE COMTE,0535,69002,Lyon 2e Arrondissement,69,37.08,130.0,Local industriel. commercial ou assimilé,0,0.0,4.8297,45.75266
2020-675712,2020-01-23,Vente,150000.0,40,,RUE COMMANDANT CHARCOT,1825,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.80563,45.75467
2020-675712,2020-01-23,Vente,150000.0,40,,RUE COMMANDANT CHARCOT,1825,69005,Lyon 5e Arrondissement,69,,52.0,Appartement,2,0.0,4.80563,45.75467
2020-675713,2020-01-08,Vente,235294.0,9,,PAS PANAMA,5210,69002,Lyon 2e Arrondissement,69,27.5,29.0,Appartement,1,0.0,4.81717,45.73938
2020-675714,2020-01-09,Vente,124650.0,11,,RUE PROFESSEUR PATEL,5775,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79083,45.76551
2020-675714,2020-01-09,Vente,124650.0,31,,RUE PROFESSEUR PATEL,5775,69009,Lyon 9e Arrondissement,69,53.63,53.0,Appartement,2,0.0,4.79179,45.76609
2020-675716,2020-01-09,Vente,290000.0,31,,RUE DU DOYENNE,2300,69005,Lyon 5e Arrondissement,69,52.66,41.0,Appartement,1,0.0,4.82571,45.75794
2020-675722,2020-01-07,Vente,1180000.0,1,,PAS LAMURE,4125,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,266.0,4.83361,45.77877
2020-675722,2020-01-07,Vente,1180000.0,1,,PAS LAMURE,4125,69004,Lyon 4e Arrondissement,69,,56.0,Appartement,2,266.0,4.83361,45.77877
2020-675722,2020-01-07,Vente,1180000.0,1,,PAS LAMURE,4125,69004,Lyon 4e Arrondissement,69,,59.0,Appartement,3,266.0,4.83361,45.77877
2020-675725,2020-01-09,Vente,637500.0,2,,PL ENNEMOND FOUSSERET,2520,69005,Lyon 5e Arrondissement,69,119.86,112.0,Appartement,4,0.0,4.82859,45.76476
