latitude,longitude,airbnbValue,cadastreValue,ratio
45.737755,4.825522,0,231531,0.0
45.762493,4.78758,0,790000,0.0
45.741863,4.8618674,1224,191840,0.006380317
45.74977,4.85421,0,327375,0.0
45.768738,4.8292603,3311,256746,0.012896014
45.74689,4.8705325,0,276810,0.0
45.757675,4.829315,18212,374700,0.048604216
45.750187,4.822602,22015,200000,0.110075
45.744442,4.849919,1107,402000,0.0027537313
45.7495,4.8525677,0,290500,0.0
45.755405,4.8424277,581,369966,0.0015704146
45.77523,4.828742,5218,388945,0.013415779
45.765987,4.8356175,4729,258333,0.01830583
45.76458,4.853778,5670,355300,0.015958345
45.75142,4.787463,5382,323000,0.016662538
45.798615,4.83114,0,277000,0.0
45.77534,4.8381286,521,240810,0.0021635315
45.78086,4.825398,0,420950,0.0
45.75043,4.842502,7259,410086,0.017701166
45.757202,4.847563,1608,332750,0.004832457
45.730885,4.8387866,0,220000,0.0
45.742046,4.8236847,11420,387000,0.029509043
45.736324,4.855695,0,208666,0.0
45.755356,4.79749,9445,274080,0.034460742
45.753086,4.8255157,2957,409475,0.007221442
45.76083,4.834104,11145,596046,0.018698221
45.750423,4.871526,9023,150000,0.06015333
45.75588,4.846698,0,280200,0.0
45.749687,4.835209,740,347400,0.0021301094
45.775093,4.800518,0,203857,0.0
45.74826,4.8469386,0,280770,0.0
45.756374,4.823469,8910,188750,0.0472053
45.754402,4.8024235,0,202700,0.0
45.74228,4.8742857,8033,241274,0.033294097
45.74694,4.8210535,0,283569,0.0
45.770992,4.8481736,2483,151000,0.016443709
45.7808,4.836232,0,222666,0.0
45.765545,4.8319926,5940,410466,0.014471357
45.744854,4.8777986,2223,291133,0.0076356856
45.76243,4.828889,8498,377245,0.022526475
45.751583,4.869776,5620,281650,0.019953843
45.737823,4.881092,10600,136997,0.07737396
45.777924,4.84094,219,206802,0.001058984
45.758934,4.872305,0,236666,0.0
45.73631,4.829254,9299,206000,0.045140777
45.76564,4.8287416,3791,335125,0.011312197
45.73286,4.8397574,17691,193000,0.09166321
45.752827,4.8810077,2327,239800,0.00970392
45.761044,4.8462214,16612,400950,0.0414316
45.76244,4.8324323,2474,845984,0.0029244053
45.757217,4.8573327,1813,369300,0.0049092877
45.766796,4.8258557,8373,319791,0.026182726
45.774654,4.79626,0,201541,0.0
45.744152,4.86682,22255,295324,0.075357914
45.77433,4.8262115,5769,242500,0.02378969
45.749397,4.8465543,0,218300,0.0
45.769886,4.8627167,24316,505000,0.048150495
45.775707,4.8232245,6113,252557,0.024204437
45.73798,4.839968,6084,238950,0.025461394
45.73955,4.83148,0,167800,0.0
45.752907,4.7778945,19499,156123,0.12489512
45.76936,4.8369393,8901,308916,0.028813658
45.77572,4.8368764,1168,293712,0.0039766845
45.77317,4.832549,3580,330000,0.010848485
45.7745,4.8244944,3223,253712,0.012703381
45.757504,4.8684382,5482,350000,0.015662856
45.76899,4.846177,9453,544500,0.017360881
45.770924,4.827701,6317,264850,0.023851236
45.768806,4.8279324,5195,200535,0.025905702
45.746162,4.8376775,0,79215,0.0
45.771824,4.806653,0,188513,0.0
45.72343,4.8827834,23742,133062,0.1784281
45.747505,4.8444424,0,74250,0.0
45.753693,4.8514996,6860,274500,0.024990892
45.73505,4.833773,0,463300,0.0
45.765526,4.79325,8810,149000,0.059127517
45.75814,4.863249,2427,327150,0.0074186153
45.75006,4.830042,2627,197641,0.013291776
45.777153,4.801956,10281,226272,0.045436464
45.755344,4.847225,7464,214676,0.034768675
45.76198,4.8346553,8731,306854,0.028453272
45.77049,4.8347454,5248,375117,0.013990302
45.766754,4.865798,9748,318983,0.030559622
45.75055,4.8644423,2823,267803,0.010541331
45.76843,4.854185,3014,262881,0.011465264
45.746147,4.8867345,0,246333,0.0
45.767307,4.8557706,277,399400,6.935403E-4
45.74787,4.841771,0,210990,0.0
45.752934,4.869012,0,292920,0.0
45.762646,4.867639,8531,260500,0.03274856
45.745823,4.843941,15800,300033,0.052660875
45.756943,4.827911,2572,280000,0.009185715
45.76355,4.831871,5587,327666,0.0170509
45.789967,4.8140273,3187,278000,0.011464029
45.76929,4.835111,8601,282169,0.030481733
45.77992,4.8232026,0,621909,0.0
45.755413,4.869599,8436,215952,0.039064236
45.76567,4.868385,0,2550000,0.0
45.772644,4.82303,19490,321800,0.06056557
45.743732,4.836892,0,243930,0.0
45.748123,4.833918,5785,283000,0.020441696
45.76383,4.7878885,12586,159716,0.07880238
45.759342,4.842688,9661,469625,0.020571733
45.752636,4.7752085,6141,243633,0.025205946
45.76847,4.80859,6165,321425,0.019180214
45.750225,4.88818,0,241414,0.0
45.75205,4.8932567,6220,230084,0.027033605
45.754925,4.8588843,11247,239433,0.046973474
45.76874,4.8493967,7186,505000,0.014229703
45.74921,4.8427033,1605,186283,0.008615923
45.75505,4.829887,9277,473333,0.01959931
45.759968,4.844442,1158,499000,0.0023206412
45.75945,4.8265047,3308,146081,0.02264497
45.753044,4.841374,4811,240390,0.020013312
45.75166,4.8472943,4432,206933,0.02141756
45.74753,4.8391666,111,268313,4.1369593E-4
45.768906,4.8331428,7056,279400,0.025254115
45.779106,4.830611,0,253750,0.0
45.771587,4.8525696,2787,227650,0.012242477
45.770123,4.832839,3743,228800,0.016359266
45.762486,4.853332,8435,183623,0.04593651
45.74158,4.865548,7883,292710,0.026931092
45.75398,4.849148,0,447550,0.0
45.75429,4.847653,0,301850,0.0
45.76637,4.8517194,16716,299250,0.055859648
45.748688,4.8460116,25,257600,9.704969E-5
45.726677,4.8716435,0,118500,0.0
45.740135,4.857765,0,165000,0.0
45.748577,4.8286586,9410,202375,0.046497837
45.756054,4.844184,2747,389000,0.0070616966
45.75161,4.874779,85,201500,4.2183622E-4
45.776707,4.835957,4616,252208,0.018302353
45.74471,4.8604975,1621,226106,0.007169204
45.739544,4.8514514,5560,216252,0.025710745
45.750595,4.847181,5232,202100,0.025888175
45.756397,4.8542457,10721,316350,0.033889677
45.794926,4.8185973,0,253000,0.0
45.757847,4.846771,0,427250,0.0
45.77885,4.835739,5983,523225,0.011434851
45.730675,4.83435,236,200786,0.0011753808
45.77239,4.831385,2053,253275,0.0081058135
45.75131,4.8261623,8068,293114,0.027525127
45.748592,4.8675113,9640,181500,0.053112946
45.765438,4.867174,11904,564266,0.021096433
45.77443,4.846009,2233,429280,0.005201733
45.766617,4.8340197,0,320000,0.0
45.7533,4.832395,17588,314620,0.05590236
45.772366,4.801288,0,233320,0.0
45.75809,4.798206,8173,165731,0.049314853
45.779167,4.8345394,0,271942,0.0
45.772423,4.82404,0,269000,0.0
45.740917,4.8706274,5232,235000,0.02226383
45.753017,4.84616,9171,300583,0.030510707
45.74656,4.8341827,0,282600,0.0
45.759132,4.836332,3621,430815,0.008405
45.779957,4.8380766,0,280716,0.0
45.739918,4.86241,3161,111401,0.02837497
45.75063,4.84597,0,231800,0.0
