id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-681047,2020-12-01,Vente,273050.0,104,,RUE COMMANDANT CHARCOT,1825,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.79543,45.74976
2020-681049,2020-11-27,Vente,622840.0,26,,RUE ROUSSY,6160,69004,Lyon 4e Arrondissement,69,99.36,99.0,Appartement,4,0.0,4.82265,45.77536
2020-681051,2020-11-20,Vente,160000.0,6,,RUE RUPLINGER,6195,69004,Lyon 4e Arrondissement,69,67.28,55.0,Appartement,3,0.0,4.83762,45.78094
2020-681053,2020-11-27,Vente,200000.0,1,,RUE SAINT ALEXANDRE,6220,69005,Lyon 5e Arrondissement,69,41.33,41.0,Appartement,2,0.0,4.81617,45.75664
2020-681057,2020-11-13,Vente,458250.0,58,,RUE VICTOR HUGO,7405,69002,Lyon 2e Arrondissement,69,85.31,94.0,Appartement,3,0.0,4.82838,45.75232
2020-681058,2020-11-13,Vente,145000.0,19,,CRS SUCHET,6850,69002,Lyon 2e Arrondissement,69,34.83,34.0,Appartement,1,0.0,4.82395,45.74718
2020-681060,2020-11-16,Vente,5000.0,16,,RUE JACQUARD,3630,69004,Lyon 4e Arrondissement,69,,87.0,Appartement,2,0.0,4.82812,45.77592
2020-681061,2020-11-20,Vente,265000.0,20,,RUE DES CAPUCINS,1245,69001,Lyon 1er Arrondissement,69,40.1,39.0,Appartement,2,0.0,4.8349,45.76937
2020-681062,2020-11-27,Vente,258000.0,48,,RUE COMMANDANT CHARCOT,1825,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.80427,45.75399
2020-681062,2020-11-27,Vente,258000.0,48,,RUE COMMANDANT CHARCOT,1825,69005,Lyon 5e Arrondissement,69,,70.0,Appartement,3,0.0,4.80427,45.75399
2020-681063,2020-11-25,Vente,355000.0,30,,RUE DU PLAT,5585,69002,Lyon 2e Arrondissement,69,,,Dépendance,0,0.0,4.82799,45.75687
2020-681063,2020-11-25,Vente,355000.0,30,,RUE DU PLAT,5585,69002,Lyon 2e Arrondissement,69,47.77,71.0,Appartement,3,0.0,4.82799,45.75687
2020-681064,2020-11-26,Vente,195000.0,18,,RUE ROGER RADISSON,6095,69005,Lyon 5e Arrondissement,69,50.3,56.0,Appartement,2,0.0,4.81945,45.761
2020-681065,2020-11-09,Vente,331320.0,103,,RUE DU BOURBONNAIS,1065,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79365,45.77335
2020-681065,2020-11-09,Vente,331320.0,103,,RUE DU BOURBONNAIS,1065,69009,Lyon 9e Arrondissement,69,72.54,73.0,Appartement,3,0.0,4.79365,45.77335
2020-681067,2020-11-25,Vente,415000.0,5,,RUE D AUSTERLITZ,0570,69004,Lyon 4e Arrondissement,69,,88.0,Appartement,2,0.0,4.83388,45.776
2020-681068,2020-11-10,Vente,469860.0,34,B,MTE SAINT BARTHELEMY,6255,69005,Lyon 5e Arrondissement,69,,88.0,Appartement,3,0.0,4.82544,45.76319
2020-681069,2020-11-17,Vente,553500.0,9,,MTE SAINT-SEBASTIEN,6560,69001,Lyon 1er Arrondissement,69,,71.0,Appartement,3,0.0,4.83482,45.77403
2020-681070,2020-11-17,Vente,810000.0,15,,RUE EMILE ZOLA,2510,69002,Lyon 2e Arrondissement,69,,51.0,Local industriel. commercial ou assimilé,0,0.0,4.83285,45.75872
