id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2016-823643,2016-07-27,Vente,284220.0,12.0,,RUE GERMAIN,0130,69250.0,69003,Albigny-sur-Saône,69,,,,91.0,4.833148,45.865852
2016-823751,2016-07-19,Vente,265000.0,4.0,A,AV GABRIEL PERI,0100,69250.0,69003,Albigny-sur-Saône,69,,85.0,4.0,300.0,4.831995,45.873956
2016-823751,2016-07-19,Vente,265000.0,4.0,A,AV GABRIEL PERI,0100,69250.0,69003,Albigny-sur-Saône,69,,85.0,4.0,716.0,4.831995,45.873956
2016-823751,2016-07-19,Vente,265000.0,4.0,,AV GABRIEL PERI,0100,69250.0,69003,Albigny-sur-Saône,69,,,,101.0,4.832118,45.873895
2016-824014,2016-08-03,Vente en l'état futur d'achèvement,159000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-824014,2016-08-03,Vente en l'état futur d'achèvement,159000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,41.0,2.0,,4.831207,45.859933
2016-824018,2016-08-04,Vente en l'état futur d'achèvement,206000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-824018,2016-08-04,Vente en l'état futur d'achèvement,206000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,58.0,3.0,,4.831207,45.859933
2016-824018,2016-08-04,Vente en l'état futur d'achèvement,206000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-824191,2016-08-29,Vente,148300.0,3.0,,RUE LEFEBVRE,0200,69250.0,69003,Albigny-sur-Saône,69,84.58,93.0,5.0,,4.834887,45.877157
2016-824223,2016-08-25,Vente en l'état futur d'achèvement,150000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-824223,2016-08-25,Vente en l'état futur d'achèvement,150000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,44.0,2.0,,4.831207,45.859933
2016-824266,2016-08-31,Vente en l'état futur d'achèvement,134500.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,36.0,2.0,,4.831207,45.859933
2016-824266,2016-08-31,Vente en l'état futur d'achèvement,134500.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-824266,2016-08-31,Vente en l'état futur d'achèvement,134500.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-824293,2016-09-07,Vente,555000.0,11.0,,MTE DU VIEUX CHATEAU,0247,69250.0,69003,Albigny-sur-Saône,69,,208.0,8.0,1153.0,4.829626,45.866933
2016-824343,2016-09-01,Vente,136700.0,9.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.836055,45.862826
2016-824343,2016-09-01,Vente,136700.0,9.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,40.02,47.0,1.0,,4.836055,45.862826
2016-824343,2016-09-01,Vente,136700.0,9.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.836055,45.862826
2016-824456,2016-08-24,Vente,210000.0,4.0,,AV DE LA GARE,0120,69250.0,69003,Albigny-sur-Saône,69,,60.0,3.0,225.0,4.834617,45.876779
2016-824496,2016-09-06,Vente,119500.0,3.0,,RUE ETIENNE RICHERAND,0093,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.832023,45.863909
2016-824496,2016-09-06,Vente,119500.0,3.0,,RUE ETIENNE RICHERAND,0093,69250.0,69003,Albigny-sur-Saône,69,,60.0,2.0,,4.832023,45.863909
2016-824709,2016-09-19,Vente,199850.0,23.0,,QUAI DE VILLEVERT,0250,69250.0,69003,Albigny-sur-Saône,69,,68.0,3.0,67.0,4.835058,45.877093
2016-824729,2016-09-15,Vente en l'état futur d'achèvement,147000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-824729,2016-09-15,Vente en l'état futur d'achèvement,147000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,40.0,2.0,,4.831207,45.859933
2016-824907,2016-09-27,Vente,130000.0,16.0,,QUAI DE VILLEVERT,0250,69250.0,69003,Albigny-sur-Saône,69,,58.0,2.0,,4.834395,45.877538
2016-824922,2016-09-23,Vente,270000.0,49.0,,AV DES AVORAUX,0020,69250.0,69003,Albigny-sur-Saône,69,175.7,105.0,3.0,,4.830659,45.869346
2016-825196,2016-10-06,Vente en l'état futur d'achèvement,159000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,44.0,2.0,,4.831207,45.859933
2016-825196,2016-10-06,Vente en l'état futur d'achèvement,159000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-825233,2016-10-05,Vente,,10.0,,RUE JEAN CHIRAT,0170,69250.0,69003,Albigny-sur-Saône,69,,,0.0,2294.0,4.83228,45.86449
